aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
Tak,Opel,1.6,Osobowe,Niebieski,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,171000,Astra,Tak,Polska,37999,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-wersja-kombi-polski-salon-pierwszy-wlasciciel-1-6-cdti-fv-vat-ID6DKh5K.html#62ae6e5d25,Używane,2017
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,88691,Astra,Tak,Polska,38990,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-salon-pl-aso-fv23-od-ria-ID6DAGqz.html#62ae6e5d25,Używane,2016
Tak,Opel,1.4,Osobowe,Bordowy,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),125,48336,Astra,,Polska,54000,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4-t-salon-polska-1-wlasciciel-serwis-aso-vat-23-klimatronic-ID6DJx61.html#62ae6e5d25,Używane,2018
Tak,Opel,1.6,Osobowe,Czarny,PLN,4,Na przednie koła,,Benzyna,J (2009-2015),116,110843,Astra,Tak,Polska,35500,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-1-6-16v-salon-polska-serwis-aso-skora-klima-tempomat-ID6DKfGX.html#62ae6e5d25,Używane,2016
,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),120,113569,Astra,Tak,,33900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-klima-auto-grzane-fotele-i-kierownica-tempomat-pdc-ID6DKffb.html#62ae6e5d25,Używane,2013
Tak,Opel,1.6,Osobowe,Szary,PLN,5,Na przednie koła,,Diesel,K (2015-),110,119217,Astra,,Polska,42000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-salon-polska-serwis-aso-klimatronic-tempomat-parktronic-ID6DJx5Q.html#62ae6e5d25,Używane,2017
Tak,Opel,1.6,Osobowe,Szary,PLN,5,Na przednie koła,Tak,Benzyna,H (2004-2014),115,222000,Astra,Tak,Holandia,15500,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-benzyna-116km-lift-wersjacosmo-polskory-alu-chrom-sliczna-ID6DLcxw.html#62ae6e5d25,Używane,2007
Tak,Opel,1.4,Osobowe,Brązowy,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),100,104900,Astra,Tak,Polska,40900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-benzyna-salon-pl-i-wlasciciel-piekny-kolor-maly-przebieg-ID6DCrNZ.html#62ae6e5d25,Używane,2016
Tak,Opel,1.4,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),125,84163,Astra,,Polska,49900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-astra-v-1-4-t-gpf-enjoy-ID6DHCIz.html#62ae6e5d25,Używane,2019
,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,H (2004-2014),115,192200,Astra,Tak,Niemcy,14200,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-h-kombi-zadbany-i-serwisowany-ID6DLaug.html#62ae6e5d25,Używane,2008
